timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1504199500.540208,0.025098,0.705249,0.456062,0.441851,-0.275553,0.112028,0.019109,-0.648224,-0.761210,0.045298,0.138717,-0.166112,18.449923,-10.614316,-29.516144,,,,,,,
1504199500.550218,0.021176,0.708867,0.456864,0.330532,-0.355563,0.055404,0.016074,-0.650974,-0.758930,0.050455,0.128559,-0.142590,18.449923,-10.614316,-29.516144,,,,,,,
1504199500.560228,0.017387,0.711266,0.457067,0.211213,-0.361992,0.009310,0.013170,-0.652793,-0.757421,0.057722,0.118415,-0.130762,18.450136,-10.838864,-29.739441,,,,,,,
1504199500.570238,0.014156,0.712752,0.456925,0.132713,-0.318699,-0.012251,0.010710,-0.653918,-0.756490,0.074633,0.123339,-0.119029,18.450136,-10.838864,-29.739441,,,,,,,
1504199500.580248,0.011588,0.713815,0.456679,0.099099,-0.256610,-0.018823,0.008759,-0.654722,-0.755819,0.081131,0.123670,-0.081675,18.150331,-10.915204,-29.739624,,,,,,,
1504199500.590257,0.009553,0.714631,0.456445,0.072800,-0.208444,-0.016818,0.007216,-0.655339,-0.755300,0.083345,0.105595,-0.046534,18.150331,-10.915204,-29.739624,,,,,,,
1504199500.600267,0.007919,0.714970,0.456118,0.017559,-0.184535,-0.026563,0.005980,-0.655595,-0.755089,0.080705,0.095704,-0.038231,18.225405,-10.989728,-29.813873,,,,,,,
1504199500.610277,0.006593,0.714612,0.455647,-0.055791,-0.158344,-0.038478,0.004980,-0.655324,-0.755331,0.058908,0.115606,-0.046198,18.225405,-10.989728,-29.813873,,,,,,,
1504199500.620287,0.005676,0.713391,0.455011,-0.147197,-0.124541,-0.054707,0.004292,-0.654402,-0.756135,0.051113,0.112470,-0.043654,18.300890,-11.139539,-29.737579,,,,,,,
1504199500.630296,0.005178,0.711094,0.454097,-0.254716,-0.107649,-0.076271,0.003923,-0.652663,-0.757638,0.055418,0.113097,-0.036811,18.300890,-11.139539,-29.737579,,,,,,,
1504199500.640306,0.004946,0.707906,0.452815,-0.333482,-0.104835,-0.109502,0.003758,-0.650244,-0.759716,0.057918,0.110876,-0.040607,18.000597,-11.065732,-29.813873,,,,,,,
1504199500.650316,0.004753,0.704171,0.451132,-0.381538,-0.128917,-0.139430,0.003622,-0.647402,-0.762140,0.051523,0.097994,-0.028220,18.000597,-11.065732,-29.813873,,,,,,,
1504199500.660326,0.005055,0.700033,0.449000,-0.420582,-0.095527,-0.172646,0.003866,-0.644243,-0.764811,0.038965,0.102235,-0.028127,17.924700,-10.616376,-29.667419,,,,,,,
1504199500.670335,0.006256,0.695658,0.446518,-0.440063,-0.013287,-0.199510,0.004802,-0.640891,-0.767617,0.036625,0.091635,-0.024589,17.924578,-10.616223,-29.742432,,,,,,,
1504199500.680345,0.008638,0.691219,0.443851,-0.440131,0.105006,-0.210392,0.006655,-0.637477,-0.770441,0.032682,0.118495,-0.022147,17.924578,-10.616223,-29.742432,,,,,,,
1504199500.690355,0.013469,0.683759,0.440686,-0.420541,0.287071,-0.217085,0.010441,-0.631711,-0.775133,0.023723,0.151761,-0.016142,17.924578,-10.616223,-29.742432,,,,,,,
1504199500.700365,0.019098,0.680063,0.437990,-0.340410,0.435593,-0.215073,0.014848,-0.628842,-0.777391,0.029036,0.176968,-0.012312,17.848711,-10.316403,-29.819855,,,,,,,
1504199500.710375,0.026382,0.677597,0.435103,-0.210029,0.582659,-0.236455,0.020551,-0.626923,-0.778811,0.017779,0.154159,-0.015165,17.848711,-10.316403,-29.819855,,,,,,,
1504199500.720384,0.034649,0.676593,0.431947,-0.050498,0.643166,-0.251229,0.027011,-0.626140,-0.779243,0.013379,0.162563,-0.015923,18.072542,-9.940091,-29.972107,,,,,,,
1504199500.730394,0.042086,0.674686,0.429112,0.104667,0.577921,-0.239099,0.032855,-0.624653,-0.780211,-0.005801,0.131366,-0.068116,18.072542,-9.940091,-29.972107,,,,,,,
1504199500.740404,0.048820,0.676637,0.426138,0.240164,0.457435,-0.217304,0.038049,-0.626174,-0.778754,-0.008187,0.120056,-0.110665,18.747499,-9.787503,-29.746613,,,,,,,
1504199500.750414,0.054084,0.680119,0.423465,0.397943,0.331422,-0.179449,0.042030,-0.628886,-0.776361,-0.002219,0.149882,-0.137915,18.747499,-9.787503,-29.746613,,,,,,,
1504199500.760393,0.058135,0.685310,0.421278,0.568816,0.251105,-0.126709,0.044984,-0.632913,-0.772915,-0.013932,0.178629,-0.124348,18.898211,-9.937284,-29.520111,,,,,,,
1504199500.770403,0.060185,0.689200,0.420368,0.704893,0.219005,-0.085847,0.046420,-0.635920,-0.770358,-0.034168,0.190790,-0.092405,18.898211,-9.937284,-29.520111,,,,,,,
1504199500.780412,0.063258,0.696995,0.418819,0.802905,0.210722,-0.069652,0.048473,-0.641916,-0.765241,-0.038188,0.186335,-0.085986,19.423922,-10.085370,-29.292664,,,,,,,
1504199500.790422,0.066727,0.705329,0.417013,0.850117,0.232730,-0.087754,0.050768,-0.648284,-0.759704,-0.022753,0.173278,-0.094163,19.423922,-10.085370,-29.292664,,,,,,,
1504199500.800432,0.070174,0.713930,0.415140,0.868083,0.216589,-0.079156,0.052994,-0.654809,-0.753934,0.007797,0.184564,-0.114657,19.350588,-10.611157,-29.063904,,,,,,,
1504199500.810442,0.072951,0.721587,0.413571,0.856922,0.169767,-0.057743,0.054720,-0.660577,-0.748761,0.002974,0.163354,-0.130420,19.350588,-10.611157,-29.063904,,,,,,,
1504199500.820451,0.075060,0.729872,0.412233,0.825344,0.106065,-0.032068,0.055886,-0.666774,-0.743161,0.006751,0.124080,-0.133685,19.576601,-10.835752,-28.761658,,,,,,,
