timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1504196729.602006,-0.007156,0.332240,-2.745211,-0.018669,0.147325,0.082840,-0.006765,-0.326162,-0.945290,-0.049998,-0.029734,0.009773,14.155504,-4.104459,-31.600677,,,,,,,
1504196729.612015,-0.006350,0.332685,-2.744324,0.065196,0.094419,0.083079,-0.006002,-0.326582,-0.945150,-0.044902,-0.033998,0.013433,14.155504,-4.104459,-31.600677,,,,,,,
1504196729.622025,-0.007155,0.334483,-2.743189,0.118105,0.032183,0.072610,-0.006758,-0.328281,-0.944556,-0.044054,-0.029904,0.015204,14.230059,-4.103528,-31.900482,,,,,,,
1504196729.632035,-0.007396,0.335835,-2.742583,0.139179,-0.014854,0.050314,-0.006982,-0.329558,-0.944109,-0.038992,-0.028215,0.012423,14.230059,-4.103528,-31.900482,,,,,,,
1504196729.642045,-0.008781,0.337889,-2.742043,0.130636,-0.041390,0.010856,-0.008284,-0.331496,-0.943420,-0.040514,-0.029969,0.010773,14.381304,-4.328748,-31.448456,,,,,,,
1504196729.652054,-0.010016,0.339785,-2.741900,0.114729,-0.048693,-0.019043,-0.009444,-0.333284,-0.942779,-0.034700,-0.031813,0.006240,14.381304,-4.328748,-31.448456,,,,,,,
1504196729.662064,-0.010938,0.341608,-2.742016,0.097990,-0.020835,-0.039401,-0.010305,-0.335003,-0.942161,-0.033503,-0.037296,0.003409,14.005739,-4.105435,-31.451050,,,,,,,
1504196729.672074,-0.011490,0.343356,-2.742227,0.081304,0.020862,-0.048041,-0.010819,-0.336649,-0.941568,-0.037200,-0.041326,0.005426,14.005739,-4.105435,-31.451050,,,,,,,
1504196729.682084,-0.011734,0.344889,-2.742457,0.056993,0.047696,-0.049196,-0.011043,-0.338093,-0.941048,-0.037541,-0.041393,0.008065,14.080843,-4.105252,-31.375854,,,,,,,
1504196729.692093,-0.011739,0.346173,-2.742689,0.031630,0.075605,-0.051423,-0.011042,-0.339300,-0.940613,-0.039587,-0.043177,0.005707,14.080843,-4.105252,-31.375854,,,,,,,
1504196729.702103,-0.011375,0.347209,-2.743042,0.012758,0.108799,-0.063253,-0.010696,-0.340274,-0.940265,-0.039445,-0.041882,0.004841,14.231234,-4.254575,-31.374359,,,,,,,
1504196729.712113,-0.010617,0.348113,-2.743552,0.011942,0.131190,-0.076101,-0.009980,-0.341125,-0.939965,-0.036162,-0.036988,0.007973,14.231234,-4.254575,-31.374359,,,,,,,
1504196729.722123,-0.009782,0.348995,-2.744140,0.028015,0.134256,-0.083547,-0.009192,-0.341954,-0.939672,-0.037241,-0.029460,0.009557,14.156710,-4.180814,-30.925140,,,,,,,
1504196729.732133,-0.009026,0.350067,-2.744798,0.065161,0.108371,-0.084502,-0.008479,-0.342961,-0.939312,-0.032720,-0.024303,0.006603,14.156710,-4.180814,-30.925140,,,,,,,
1504196729.742142,-0.008533,0.351496,-2.745447,0.113869,0.065335,-0.077935,-0.008011,-0.344303,-0.938825,-0.026382,-0.019452,0.003476,14.081408,-4.330258,-31.374176,,,,,,,
1504196729.752152,-0.008547,0.353221,-2.746046,0.156018,0.004236,-0.069212,-0.008020,-0.345921,-0.938229,-0.021033,-0.010204,0.006909,14.081408,-4.330258,-31.374176,,,,,,,
1504196729.762162,-0.009046,0.355167,-2.746573,0.182164,-0.054602,-0.057320,-0.008482,-0.347747,-0.937550,-0.014025,-0.007188,0.002934,14.156374,-4.180356,-31.150116,,,,,,,
1504196729.772172,-0.009891,0.357222,-2.747017,0.187187,-0.088767,-0.047639,-0.009266,-0.349673,-0.936826,-0.008938,-0.007856,0.001249,14.156374,-4.180356,-31.150116,,,,,,,
