timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1504198284.013891,-0.023000,0.316516,-0.896577,-0.017789,0.031049,-0.002410,-0.021855,-0.311257,-0.950074,-0.005428,0.015618,-0.002974,12.796450,-0.809476,-32.153778,,,,,,,
1504198284.023900,-0.022830,0.316159,-0.896640,-0.014653,0.019308,-0.008789,-0.021697,-0.310918,-0.950189,-0.004579,0.012838,-0.002722,13.021898,-0.809064,-31.853241,,,,,,,
1504198284.033910,-0.022764,0.315718,-0.896756,0.000155,0.001075,-0.013000,-0.021637,-0.310499,-0.950327,0.001236,0.011839,-0.002050,13.021898,-0.809064,-31.853241,,,,,,,
1504198284.043920,-0.022848,0.315876,-0.896866,0.019215,-0.015069,-0.009737,-0.021716,-0.310649,-0.950276,0.001315,0.011989,-0.002101,12.496935,-0.960965,-32.078400,,,,,,,
1504198284.053930,-0.023079,0.316050,-0.896929,0.041454,-0.032307,-0.004331,-0.021934,-0.310815,-0.950217,0.001869,0.012353,0.000266,12.496935,-0.960965,-32.078400,,,,,,,
1504198284.063940,-0.023414,0.316341,-0.896968,0.048847,-0.040894,-0.003235,-0.022250,-0.311091,-0.950120,0.003024,0.013591,0.004944,12.946886,-0.809400,-31.853424,,,,,,,
1504198284.073949,-0.023595,0.316333,-0.897043,0.047755,-0.041950,-0.001100,-0.022422,-0.311083,-0.950118,0.006995,0.015856,0.002257,12.946886,-0.809400,-31.853424,,,,,,,
1504198284.083959,-0.023881,0.316495,-0.897106,0.038122,-0.046131,-0.002177,-0.022693,-0.311238,-0.950061,0.008548,0.016331,0.004062,12.647799,-1.036191,-31.627472,,,,,,,
1504198284.093969,-0.024451,0.316838,-0.897081,0.032656,-0.059943,0.002107,-0.023232,-0.311563,-0.949941,0.009087,0.016657,0.003942,12.647799,-1.036191,-31.627472,,,,,,,
1504198284.103979,-0.024956,0.316893,-0.897061,0.032541,-0.070602,0.007463,-0.023711,-0.311616,-0.949912,0.010573,0.016420,0.002540,12.572161,-0.960935,-31.928192,,,,,,,
