851255986,eduroam,18:8b:45:09:30:2f,5180,-46
850624786,eduroam,18:8b:45:08:f5:6f,5180,-75
851255980,eduroam,18:8b:45:09:70:2f,5220,-67
850624772,eduroam,18:8b:45:09:70:20,2412,-58
850624815,eduroam,18:8b:45:09:73:cf,5220,-79
850624636,eduroam,18:8b:45:09:30:20,2412,-75
850624782,eduroam,00:81:c4:88:19:b0,2437,-78
850624618,eduroam,18:8b:45:09:25:80,2412,-78
850624767,eduroam,40:18:b1:78:84:d5,2412,-84
850624630,eduroam,40:18:b1:7b:20:15,2412,-90
851255959,OWL,18:8b:45:09:70:2e,5220,-72
851255994,OWL,18:8b:45:09:30:2e,5180,-44
850624778,OWL,18:8b:45:09:70:21,2412,-57
850624794,OWL,18:8b:45:08:f5:6e,5180,-77
850624641,OWL,18:8b:45:09:30:21,2412,-75
851255972,OWL,18:8b:45:09:73:ce,5220,-71
850624622,OWL,18:8b:45:09:25:81,2412,-80
850624656,OWL,40:18:b1:78:84:d4,2412,-83
850624625,OWL,40:18:b1:7b:20:14,2412,-88
908092583,eduroam,00:2a:10:1a:69:8f,5660,-67
908092530,eduroam,08:ea:44:96:ec:ea,5220,-44
908092550,eduroam,00:2a:10:0d:6d:3f,5320,-61
908092481,OERC-CONFERENCE-DISPLAY-ONLY,f8:d1:11:88:3f:2e,2427,-70
908092564,eduroam,00:2a:10:3d:b0:1f,5500,-75
908092487,eduroam,40:18:b1:78:89:d5,2437,-71
908092501,eduroam,40:18:b1:78:a9:6a,5180,-76
908092515,eduroam,40:18:b1:7b:42:2a,5180,-76
908092544,eduroam,18:8b:45:09:70:ef,5220,-77
908092522,,40:18:b1:7b:42:24,5180,-78
908092557,OWL,00:2a:10:0d:6d:3e,5320,-61
908092589,OWL,00:2a:10:1a:69:8e,5660,-69
908092570,OWL,00:2a:10:3d:b0:1e,5500,-74
908092537,OWL,18:8b:45:09:70:ee,5220,-75
908092576,OWL,00:2a:10:3d:af:fe,5660,-75
908092493,OWL,40:18:b1:78:a9:69,5180,-76
908092508,OWL,40:18:b1:7b:42:29,5180,-77
911406923,eduroam,00:2a:10:1a:69:8f,5660,-73
911406853,eduroam,08:ea:44:96:ec:ea,5220,-48
911406873,eduroam,00:2a:10:0d:6d:3f,5320,-69
911406689,OERC-CONFERENCE-DISPLAY-ONLY,f8:d1:11:88:3f:2e,2427,-72
911406885,eduroam,00:2a:10:3d:b0:1f,5500,-79
911406715,eduroam,40:18:b1:78:89:d5,2437,-79
908092501,eduroam,40:18:b1:78:a9:6a,5180,-76
911406813,eduroam,40:18:b1:7b:42:2a,5180,-80
908092544,eduroam,18:8b:45:09:70:ef,5220,-77
911406848,,40:18:b1:7b:42:24,5180,-81
911406879,OWL,00:2a:10:0d:6d:3e,5320,-72
911406933,OWL,00:2a:10:1a:69:8e,5660,-75
911406908,OWL,00:2a:10:3d:b0:1e,5500,-80
908092537,OWL,18:8b:45:09:70:ee,5220,-75
908092576,OWL,00:2a:10:3d:af:fe,5660,-75
908092493,OWL,40:18:b1:78:a9:69,5180,-76
911406791,OWL,40:18:b1:7b:42:29,5180,-82
911406709,eduroam,08:ea:44:96:ec:d5,2437,-39
911406866,,08:ea:44:96:ec:e4,5220,-51
911406747,eduroam,40:18:b1:7b:42:15,2462,-68
911406842,,40:18:b1:7b:3e:a4,5180,-81
911406830,eduroam,40:18:b1:7b:3e:aa,5180,-81
911406891,eduroam,00:2a:10:1a:69:ff,5500,-81
911406727,eduroam,9c:5d:12:7d:c3:d5,2437,-78
911406733,Physics_S,9c:5d:12:7d:c3:d6,2437,-78
911406778,eduroam,08:ea:44:96:ec:96,2462,-79
911406758,eduroam,40:18:b1:78:86:55,2462,-84
