timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1504281646.271029,-0.025098,0.266123,-2.991751,-0.037457,0.093677,0.051977,-0.024212,-0.262993,-0.964494,-0.002933,-0.140373,0.053331,-22.023382,-13.751917,-39.082062,,,,,,,
1504281646.281038,-0.025132,0.266365,-2.991242,0.045960,-0.017828,0.048048,-0.024243,-0.263226,-0.964429,0.003048,-0.140933,0.054456,-22.099066,-13.527109,-39.158936,,,,,,,
1504281646.291048,-0.026153,0.267293,-2.990749,0.108194,-0.109978,0.044049,-0.025221,-0.264122,-0.964159,0.004393,-0.140572,0.057742,-22.099066,-13.527109,-39.158936,,,,,,,
1504281646.301058,-0.027861,0.272734,-2.990344,0.145183,-0.168878,0.031410,-0.026828,-0.269366,-0.962664,0.003985,-0.137891,0.061511,-22.023977,-13.601618,-39.233185,,,,,,,
1504281646.311068,-0.029772,0.274223,-2.990078,0.148325,-0.184874,0.017567,-0.028656,-0.270799,-0.962209,0.002853,-0.141600,0.064108,-22.023977,-13.601618,-39.233185,,,,,,,
1504281646.321078,-0.031525,0.275567,-2.989942,0.122935,-0.164407,0.006813,-0.030331,-0.272092,-0.961793,0.000652,-0.144168,0.062181,-22.023001,-13.901926,-39.080933,,,,,,,
1504281646.331087,-0.032809,0.276505,-2.989868,0.088137,-0.115099,0.003464,-0.031558,-0.272995,-0.961498,-0.003202,-0.148224,0.064006,-22.023001,-13.901926,-39.080933,,,,,,,
1504281646.341097,-0.034005,0.281462,-2.989662,0.053449,-0.055142,0.006509,-0.032661,-0.277760,-0.960095,-0.006737,-0.146373,0.061505,-22.322897,-13.903421,-39.006683,,,,,,,
1504281646.351107,-0.034176,0.281740,-2.989530,0.018648,0.000548,0.013823,-0.032822,-0.278027,-0.960012,-0.010162,-0.147479,0.062597,-22.322897,-13.903421,-39.006683,,,,,,,
1504281646.361117,-0.033851,0.281655,-2.989329,-0.017279,0.048788,0.021147,-0.032511,-0.277946,-0.960046,-0.011175,-0.148476,0.066385,-22.322439,-13.904016,-38.706696,,,,,,,
1504281646.371126,-0.033713,0.285580,-2.988958,-0.043657,0.079906,0.023191,-0.032341,-0.281714,-0.958953,-0.009819,-0.145288,0.062072,-22.322439,-13.904016,-38.706696,,,,,,,
1504281646.381136,-0.033168,0.289002,-2.988653,-0.063688,0.101387,0.019923,-0.031787,-0.284996,-0.958002,-0.007016,-0.139092,0.057626,-22.023458,-13.677073,-39.007629,,,,,,,
1504281646.391146,-0.032353,0.292183,-2.988488,-0.066800,0.101420,0.012449,-0.030976,-0.288044,-0.957116,-0.002670,-0.134045,0.059106,-22.023458,-13.677073,-39.007629,,,,,,,
1504281646.401156,-0.031518,0.295266,-2.988386,-0.060542,0.077923,0.013569,-0.030149,-0.290994,-0.956250,0.002393,-0.130973,0.059460,-22.022635,-13.827662,-38.706512,,,,,,,
1504281646.411165,-0.030713,0.298365,-2.988346,-0.039406,0.046844,0.013655,-0.029352,-0.293958,-0.955368,0.009134,-0.125567,0.057479,-22.022635,-13.827662,-38.706512,,,,,,,
1504281646.421175,-0.030172,0.301418,-2.988348,-0.025744,0.012635,0.009463,-0.028807,-0.296875,-0.954482,0.011122,-0.118561,0.058058,-22.022635,-13.827662,-38.706512,,,,,,,
1504281646.431185,-0.029896,0.304375,-2.988429,-0.019525,-0.019379,0.003119,-0.028518,-0.299697,-0.953608,0.013183,-0.113038,0.057246,-22.022635,-13.827662,-38.706512,,,,,,,
1504281646.441164,-0.029698,0.307176,-2.988588,-0.018490,-0.022770,-0.004293,-0.028303,-0.302368,-0.952771,0.013899,-0.110305,0.051404,-22.023230,-13.677362,-38.857635,,,,,,,
1504281646.451174,-0.029593,0.309913,-2.988761,-0.012993,-0.010023,-0.009646,-0.028179,-0.304976,-0.951943,0.008266,-0.108003,0.047814,-22.023230,-13.677362,-38.857635,,,,,,,
1504281646.461184,-0.029441,0.312560,-2.988857,-0.012834,0.009150,-0.004344,-0.028011,-0.307496,-0.951137,0.004863,-0.104705,0.048473,-22.022787,-13.902216,-38.930908,,,,,,,
1504281646.471193,-0.029274,0.315157,-2.988800,-0.002082,0.022902,0.007393,-0.027828,-0.309966,-0.950340,0.001034,-0.102815,0.044899,-22.022787,-13.902216,-38.930908,,,,,,,
1504281646.481203,-0.029201,0.317732,-2.988597,-0.002105,0.022892,0.018069,-0.027735,-0.312413,-0.949541,-0.001333,-0.100047,0.044283,-22.022741,-13.827524,-38.781494,,,,,,,
