timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1504281847.361505,-0.105475,0.317627,0.096953,-0.300042,0.036766,-0.117310,-0.100013,-0.312313,-0.944700,-0.121697,-0.443943,0.374632,-13.902472,-20.994120,-37.207428,,,,,,,
1504281847.371515,-0.104609,0.314157,0.095128,-0.383212,0.027886,-0.141989,-0.099308,-0.309015,-0.945858,-0.117520,-0.461767,0.356381,-13.977667,-20.919458,-37.208191,,,,,,,
1504281847.381524,-0.103781,0.310088,0.093111,-0.436564,0.021941,-0.150610,-0.098654,-0.305143,-0.947183,-0.111688,-0.474459,0.352014,-13.977667,-20.919458,-37.208191,,,,,,,
1504281847.391534,-0.102846,0.305656,0.091072,-0.466355,0.034969,-0.146415,-0.097906,-0.300919,-0.948611,-0.104853,-0.483581,0.350481,-13.903830,-20.543818,-37.360809,,,,,,,
1504281847.401544,-0.101674,0.301194,0.089070,-0.463976,0.066915,-0.144333,-0.096930,-0.296661,-0.950051,-0.106531,-0.492234,0.346032,-13.903830,-20.543818,-37.360809,,,,,,,
1504281847.411554,-0.100049,0.296905,0.087141,-0.435852,0.118891,-0.137971,-0.095512,-0.292562,-0.951465,-0.113198,-0.489421,0.344669,-13.830084,-20.317591,-37.812347,,,,,,,
1504281847.421563,-0.097961,0.293017,0.085399,-0.390687,0.171785,-0.124110,-0.093635,-0.288842,-0.952787,-0.111046,-0.472954,0.342786,-13.830084,-20.317591,-37.812347,,,,,,,
1504281847.431573,-0.095501,0.289626,0.083848,-0.339221,0.210776,-0.112348,-0.091384,-0.285594,-0.953984,-0.116380,-0.459493,0.344151,-13.530539,-20.091394,-37.738281,,,,,,,
1504281847.441553,-0.092804,0.286680,0.082464,-0.294275,0.234902,-0.100571,-0.088888,-0.282769,-0.955060,-0.118036,-0.452170,0.337446,-13.530539,-20.091394,-37.738281,,,,,,,
1504281847.451562,-0.090001,0.284129,0.081268,-0.253671,0.250539,-0.087720,-0.086276,-0.280321,-0.956021,-0.111127,-0.455030,0.325406,-13.531027,-19.941233,-37.814423,,,,,,,
